[ 2015-10-04T14:33:54+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T14:39:13+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T14:39:32+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:39:33+08:00 ] ERR: zxy try to do: store.stockwarning.read, but permission denied.
[ 2015-10-04T14:39:51+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T14:40:06+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:40:07+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:40:10+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:42:01+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:42:12+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T14:43:43+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T16:58:11+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T17:05:24+08:00 ] ERR: zxy try to do: department.user.read, but permission denied.
[ 2015-10-04T17:06:09+08:00 ] ERR: zxy try to do: department.user.read, but permission denied.
[ 2015-10-04T17:07:39+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T17:20:43+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T17:20:51+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T17:20:55+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T17:21:02+08:00 ] ERR: zxy try to do: datamodel.datamodelfields.read, but permission denied.
[ 2015-10-04T17:26:13+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T17:29:15+08:00 ] ERR: zxy try to do: home.config.read, but permission denied.
[ 2015-10-04T17:40:08+08:00 ] ERR: zxy try to do: store.stockindetail.read, but permission denied.
[ 2015-10-04T20:15:43+08:00 ] ERR: zxy try to do: store.stockindetail.read, but permission denied.
[ 2015-10-04T20:19:05+08:00 ] ERR: zxy try to do: store.stockindetail.read, but permission denied.
[ 2015-10-04T20:20:56+08:00 ] ERR: workflow error when execute node: 9,8
[ 2015-10-04T20:21:17+08:00 ] ERR: workflow error when execute node: 9,8
[ 2015-10-04T20:21:24+08:00 ] ERR: workflow error when execute node: 9,7
[ 2015-10-04T20:21:24+08:00 ] ERR: workflow error when execute node: 9,8
[ 2015-10-04T20:22:05+08:00 ] ERR: workflow error when execute node: 9,9
[ 2015-10-04T20:22:11+08:00 ] ERR: workflow error when execute node: 9,9
[ 2015-10-04T20:22:14+08:00 ] ERR: workflow error when execute node: 9,9
[ 2015-10-04T20:32:02+08:00 ] ERR: zxy try to do: store.stockoutdetail.read, but permission denied.
[ 2015-10-04T20:36:11+08:00 ] ERR: zxy try to do: store.stockoutdetail.read, but permission denied.
[ 2015-10-04T20:38:55+08:00 ] ERR: zxy try to do: store.stockoutdetail.read, but permission denied.
