[ 2016-05-22T20:41:59+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:04+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:07+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:09+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:11+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:15+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:17+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:19+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:21+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:24+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:40+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:44+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:46+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T20:42:49+08:00 ] ERR: admin1 try to do: home.config.read, but permission denied.
[ 2016-05-22T21:58:20+08:00 ] ERR: zxy try to do: store.stockindetail.read, but permission denied.
